CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/52.py
MEM 0.156250 1763684865.8407
MEM 1.156250 1763684865.8420
MEM 0.250000 1763684865.8433
MEM 3.171875 1763684865.8445
MEM 5.765625 1763684865.8458
MEM 6.531250 1763684865.8471
MEM 7.187500 1763684865.8484
MEM 7.640625 1763684865.8496
MEM 8.375000 1763684865.8509
MEM 8.750000 1763684865.8522
MEM 9.156250 1763684865.8534
MEM 9.593750 1763684865.8547
MEM 10.000000 1763684865.8560
MEM 10.640625 1763684865.8572
MEM 11.140625 1763684865.8585
MEM 11.421875 1763684865.8598
MEM 11.781250 1763684865.8611
MEM 12.281250 1763684865.8623
MEM 12.812500 1763684865.8636
MEM 13.359375 1763684865.8649
MEM 13.734375 1763684865.8661
MEM 14.125000 1763684865.8674
MEM 14.640625 1763684865.8687
MEM 15.046875 1763684865.8700
MEM 15.515625 1763684865.8712
MEM 15.859375 1763684865.8725
MEM 16.281250 1763684865.8738
MEM 16.640625 1763684865.8750
MEM 17.671875 1763684865.8763
MEM 18.140625 1763684865.8776
MEM 18.453125 1763684865.8788
MEM 18.453125 1763684865.8801
MEM 18.453125 1763684865.8814
MEM 18.468750 1763684865.8826
