CMDLINE /Users/samirahajizadeh/Desktop/SumanFall25/EffiLearner/.venv/bin/python3 ././tmp/56.py
MEM 0.187500 1763688227.7252
MEM 0.937500 1763688227.7265
MEM 0.187500 1763688227.7278
MEM 2.000000 1763688227.7291
MEM 5.375000 1763688227.7304
MEM 6.375000 1763688227.7317
MEM 6.937500 1763688227.7329
MEM 7.406250 1763688227.7342
MEM 7.843750 1763688227.7355
MEM 8.421875 1763688227.7368
MEM 8.828125 1763688227.7380
MEM 9.234375 1763688227.7393
MEM 9.562500 1763688227.7406
MEM 10.156250 1763688227.7419
MEM 10.953125 1763688227.7431
MEM 11.312500 1763688227.7444
MEM 11.625000 1763688227.7457
MEM 11.968750 1763688227.7470
MEM 12.406250 1763688227.7483
MEM 12.687500 1763688227.7495
MEM 13.218750 1763688227.7508
MEM 13.671875 1763688227.7521
MEM 14.031250 1763688227.7533
MEM 14.390625 1763688227.7546
MEM 14.828125 1763688227.7559
MEM 15.171875 1763688227.7572
MEM 15.765625 1763688227.7584
MEM 16.000000 1763688227.7597
MEM 16.343750 1763688227.7610
MEM 16.734375 1763688227.7622
MEM 17.156250 1763688227.7635
MEM 18.093750 1763688227.7648
MEM 18.500000 1763688227.7661
MEM 18.796875 1763688227.7674
MEM 18.796875 1763688227.7686
MEM 18.796875 1763688227.7699
MEM 18.812500 1763688227.7712
